,comment,author,date,like,type
62,합의적인 링위에 싸움으로 참교육하는 영상 만드시는데 너무 고생하십니다 여러분들은 진정환 환경 미화원이십니다,준민,2022-02-06T17:17:06Z,2,main-comment
63,문호형만 힐링캠프찍고있네 틈틈히 패면서 즐기고 있어 ㅋㅋㅋ,이성우,2022-02-07T12:27:54Z,0,main-comment
64,너무 재미있게보고있어요ㅋㅋ저도 어렸을때 몸이외소하고 키도작아서 운동을 배웠다가 학교다니면서 나쁜길로 조금 빠져서 싸움질좀 하다가 정신차리고 이젠 싸움을 안하는데 어렸을때 싸웠던 느낌이 물씬 느껴집니다ㅎㅎ너무 재미있습니다! 찬성이형님~그리고 다른분들 너무 재미있어요!!!,도마뱀,2022-02-05T18:01:34Z,0,main-comment
65,하승진 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 왜캐 재밌냐 ㅋㅋㅋㅋㅋㅋㅋ 너무 좋다,happynoonna해피눈나,2022-02-05T10:23:39Z,11,main-comment
66,나려타곤 잘 봤음 주댕이 파이터ㅎㅎㅎㅎ 진짜 쌈 잘하는 애들은 나데지 않음 하승진님의 팩폭 통쾌함 ㅋㅋㅋㅋ,최태혁,2022-02-06T11:15:19Z,1,main-comment
67,"ㅋㅋㅋ솔까 지난번에 기획 했던거보다 이게 더 잼씀 ㅋㅋㅋ  너무 진지하면, 아 유튜브까지 넷플처럼 각잡고 봐야하나 하면서 피곤하고 보기도 빡센데.. 이거는 라이트하면서 보기 편하고 웃음요소도 있어서 유튜브로 딱임",복마니형,2022-02-03T17:07:37Z,627,main-comment
68,뚝방전설 찾아다니는 컨텐츠... 재밌네요~~ 찐 전설이 발굴되면 진짝 대박치겠어요~ ㅎㅎ,DOOCHUL JEON,2022-02-07T14:50:07Z,0,main-comment
69,태양 눈 코 입 드립은 존나 웃기네ㅋㅋㅋㅋ 계속 와서 보게 됨,Kass Ssak,2022-02-05T12:31:30Z,10,main-comment
70,와 이거 엄청나게 재밌네 오늘 첨 봤는데 진짜 참교육 제대로인듯 ㅋㅋㅋㅋㅋ,푸푸,2022-02-06T09:30:16Z,0,main-comment
71,하승진 옆에서 존나 웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 좋다,아지아지,2022-02-05T13:54:36Z,7,main-comment
72,정말 좋은 프로그램 같아요... mc분들 정말 든든하네요 ㅎㅎㅎㅎㅎㅎ 세계를 정화시키며 다녀주실거같아요 ㅎㅎ,현우튜브,2022-02-05T15:16:53Z,6,main-comment
73,찬성이형 역시 매너 말투행동에 매너가 묻어있어,제임스강,2022-02-06T03:13:58Z,1,main-comment
74,서장훈도 그렇고 하승진도 그렇고 농구 하던 사람들이 팩트를 잘 꽂네 ㅋㅋㅋ,김다니엘,2022-02-06T01:40:36Z,12,main-comment
75,이거 원래 기획의도랑 어느정도 차이 있는지 제작진 인터뷰 좀 보고 싶습니다ㅋㅋ,강을준,2022-02-06T16:41:07Z,1,main-comment
76,승진이형 일부러 자존심 조금씩 건드리면서 깐죽거리는거 너무좋아ㅋㅋ 양아치 자존심때문에 포기못하고 더 쳐맞음ㅋㅋㅋ,해븐,2022-02-03T18:45:55Z,504,main-comment
77,정찬성선수..처음부터끝까지 매너있는모습에 한번더 반하고갑니다<br>진정 멋있는분,탁남매TV,2022-02-06T05:03:48Z,3,main-comment
78,문호형님보다 체급 낮은 파트너 한명 더 데려와도 좋을 거 같은데,툟댧욳,2022-02-05T17:43:17Z,8,main-comment
79,보자마자 와 2화다!! 하고 나도 모르게 바로 들어왔어ㅋㅋㅋㅋㅋ<br>아 이거 너무 기다리게 돼요ㅋㅋㅋ<br>그리고 전과 20범이든 200범이든 앞에 있어도 아무말 안하고 앉아있는 정찬성 선수 너무 멋집니다 진짜 멋져요,파커피터,2022-02-05T06:51:06Z,4,main-comment
80,안일권 추리링바지 보플도 일어났데ㅎㅎ 쓸때없이 개웃기네 진짜ㅎㅎ,정지성,2022-02-06T08:40:56Z,1,main-comment
81,마지막에 인터뷰했던 사람입니다! 정찬성 선수분과 하승진님 안일권님 모두 바쁜 와중에 사진도 찍어주시고 너무 감사했습니다 정찬성 선수님 경기 잘 보고 있습니다 타이틀전 힘내세요!!,곽예찬,2022-02-03T16:15:35Z,1049,main-comment
82,"<a href=""https://www.youtube.com/watch?v=hRPqJfo483c&amp;t=22m28s"">22:28</a>  진짜 표정 바뀌는거 웃음벨이네",우육탕,2022-02-06T12:04:41Z,9,main-comment
83,"예전 &#39;주먹이 운다&#39; 같은 컨셉인듯 싶었는데 훨씬 속깊은(?) 프로그램으로 보이네요.<br>어쩌면 수유리 사기꾼 님은 지금쯤 너무나도 부끄러우면서도 여지껏 느껴본적 없는 홀가분함을 경험하고 있을지도요.<br>처연한 한마리 들개 같았어요. 저런 삶의 방식이 체화되기까지 많은 피해자가 나왔을 것이고, 본인 또한 그 중 하나라는걸 스스로는 몰랐겠지요.<br>진지하게 운동 시작하시고 보다 건설적인 삶을 살아가실 수 있기를-",JS L,2022-02-06T03:50:24Z,4,main-comment
84,아.. 그래도 러블리 문호형님 상대 지친후에는 살살쳐주는거 너무 스윗했어요!!,즐거운녀석,2022-02-06T12:57:20Z,0,main-comment
85,진짜 편집 너무 잘하는듯,sanghwan kim,2022-02-07T12:43:15Z,1,main-comment
86,어느 프로보다 컨텐츠 내용 의도 너무 좋습니다.곧 100만 가겠는데요?,권철현,2022-02-07T00:27:59Z,0,main-comment
87,문호님은 볼매남이네요ㅋㅋㅋ 보면볼수로 너무 좋음,초이,2022-02-05T22:49:39Z,0,main-comment
88,승진이형 입터는거 ㅈㄴ 웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,박현진,2022-02-07T16:26:54Z,1,main-comment
89,찬성형 3편  너무 <br>보고싶어요..ㅋ,깍쟁이,2022-02-06T00:48:31Z,0,main-comment
90,프로그램 취지가 너무 좋습니다. 게스트로 나온 수유리사기꾼님도 많은걸 느꼈을것 같단 생각하니 가치있는 기획이라 생각합니다.,이도헌,2022-02-03T13:01:55Z,834,main-comment
91,진짜 ㅋㅋㅋㅋ 이제부터 싸움 기대 안하고 쳐맞기전에 얼마나 가오잡나 보는 재미로 본다,John_GH,2022-02-05T15:17:59Z,8,main-comment
92,넘나 반전인 실력.. ㅎ.; 앞으로 착하게 살아가시길,요리도:쥬아,2022-02-05T13:04:19Z,4,main-comment
93,정말 참된 갱생프로그램입니다...<br>범죄자들이 자신스스로가 얼마나 창피한 삶을 살고있는지 느끼게 해주는거같아 좋았습니다.,홍뽕식,2022-02-05T23:49:57Z,5,main-comment
