,comment,author,date,like,type
35,곽윤기선수 진짜 대단하네요 ㄷㄷㄷ!!<br>진짜 한국 선수분들 자랑스럽니다 ㅠㅜ!!!<br>🇰🇷 🇰🇷 🇰🇷 🇰🇷 🇰🇷 🇰🇷 🇰🇷 🇰🇷 🇰🇷 🇰🇷 🇰🇷 🇰🇷,베개 유튜브,2022-02-12T01:26:41Z,5,main-comment
36,역시 오랜세월 터득한 노련함은 무시할 수가 없네요~~ 곽윤기 선수 👍 👍 👍,자유대한민국,2022-02-12T03:53:43Z,5,main-comment
37,진짜 뒷 선수 살펴보는 것부터 추월할 때 소름이 쫙 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 그냥 멋있다 진심,유후,2022-02-12T00:11:04Z,18,main-comment
38,"결과를 알고 보는데도 떨리고 너무너무 긴장되는데...진짜 우리나라 선수분들 너무너무 수고하셧습니다! 결승전도 화이팅♡ 이미 우리나라 사람들에겐 우리나라 선수분들이 금메달니까, 메달도 좋지만 그 보단 안전하게 다치지않고 경기해주세요!!! 이미 너무 좋은 경기보여주셔서 감사해요:)",코코엄마,2022-02-11T17:49:32Z,25,main-comment
39,곽윤기 선수는 진짜 인코스 추월에 정석인듯 끝나고 “이게 나야” 하는 손짓까지 완벽했다. 지렸다.,Syeon,2022-02-11T13:30:53Z,2939,main-comment
40,곽윤기 선수가 추월하기 전에 인코스로 추월하기 쉽게 다른 선수들보다 살짝 더 아웃으로 빠짐 어제 경기보면서 진짜 영리하다 생각했음 진짜 베테랑은 베테랑임 선수분들 남은경기도 화이팅하세요!,rudcjs97,2022-02-12T01:33:35Z,6,main-comment
41,와 진짜 베테랑 처럼 잘 타는데 타면서 밑으로 뒤에 추격하는 사람 보는 제스처 하나하나 너무 멋있다..,김상덕,2022-02-11T17:55:38Z,12,main-comment
42,"마지막에 단번에 추월하는 실력에<br>단번에 카메라 찾아서 제스처하는 센스까지<br>어떻게 저렇게 완벽하지,,?",천개번둥,2022-02-11T21:16:32Z,9,main-comment
43,막판 곽윤기 인코스 추월 오졌다 진짜… 개멋있음ㅎㅎ 역시 경험치는 무시 못함~~ 결승에서도 금메달길만 걷기를 기원합니다^^,skh9060,2022-02-11T22:21:53Z,8,main-comment
44,다리 사이로 뒤에 선수들 한 번씩 보면서 견제하다가 순위 밀려날 때마다 다시 추월하고 마지막엔 모든 나라 선수들이 최고 스피드를 냈을텐데 그걸 단시간만에 추월하네요 역시는 역시다❤️‍🔥,피콕블루,2022-02-11T13:39:40Z,402,main-comment
45,다리사이로 다른선수들  보기가<br>싶지않은데  코미디같아서<br>한참  웃었네  쵝고,짱,2022-02-11T21:19:38Z,13,reply-comment
46,"진짜 밥먹으면서 봤는데 곽윤기 선수님이<br>마지막 턴에 추월하시는거 보고 숟가락 다 내려놓고 엄마랑 소리지르고 난리남..진짜 올림픽보면 느껴보지못한 애국심이 느껴짐.. 오늘 경기뛴 선수분들 모두 수고하셨고, 앞으로도 좋은경기 하시길바랍니다🔥🔥🇰🇷",점,2022-02-11T17:12:51Z,103,main-comment
47,곽선생님께서 다리 사이로 다른 선수분의 위치를 확인하는거 귀여우셨어요ㅋㅋㅋㅋㅋ<br>결승 진출 축하드려요!!! 결승에도 파이팅!,라이프고즈 온,2022-02-12T03:33:20Z,3,main-comment
48,몇번 돌려보는건지..쾌감 대박이다 시원시원한 플레이..,희원,2022-02-11T15:17:58Z,5,main-comment
49,끝날때까지 심장 멎는줄 알았습니다!! 우리 선수들 너무 멋져요!!!!,rin,2022-02-12T02:36:12Z,1,main-comment
50,엄청난 속도에도  인코스 아웃코스를 자유롭게 전환하는.. 레전드의 정석을 보여주시네요 최고이십니다 👍👍👍👍👍,백현숙,2022-02-12T06:57:46Z,3,main-comment
51,우리나라 선수분들 너무 자랑스럽습니다! 결승에서도 부담 갖지 말고 실력 발휘해주세요!!🌸,이잉ᄋ,2022-02-11T15:11:58Z,22,main-comment
52,우리 모든 선수들 너무너무 가슴이 웅장해지고ㅠㅠ<br>윤기꽉이 꽉잡은 쇼트트랙 계주 너무 든든하고ㅜㅜㅜㅜㅜ,BedBoy,2022-02-12T03:28:52Z,1,main-comment
53,비대면 레이스에 이어<br>자유 이용권~ㅋㅋㅋ<br>배성재는 진짜 센스가 짱~!!<br>꽉윤기 진짜 지렸음~👍👍👍🥰🥰,Smile Again,2022-02-11T15:06:28Z,14,main-comment
54,진짜 OUT-IN 코스 미쳤다...ㄹㅇ짬에서 나오는 바이브인듯. 추월하는데 초조함은 하나도 안느껴지고 여유가 느껴짐. 기백이라고 봐도 될듯. 하여튼 안정감이 장난 아님. 반바퀴밖에 안남았는데도 추월해줄거라고 굳게 믿게 됨.,Ample Glow,2022-02-12T07:05:04Z,2,main-comment
55,곽윤기 선수 페이스북에 자주떠서 친근했는데 이런 경기에서 멋지게 추월해주는 모습 보여주니까 왜 이렇게 영웅같지 진짜 멋지고 듬직하다,박수빈,2022-02-12T02:08:41Z,1,main-comment
56,역시 빛나는 대한민국...!<br>경기를 보며 다정한 카리스마도 느껴지고 <br>고생한 만큼 좋은 결과로 이어졌다고 생각해요<br>남은 경기 제바ㅏㅏㅏㄹ 부상 없이! 잘 마무리 하셨으면 합니다! 감사합니다 파이팅!!,할수있다하면,2022-02-11T15:52:04Z,2,main-comment
57,"본방, 다시 보여주는 것도 못 봐서 보러왔다<br>멋있다~<br>곽윤기 선수님 이번 대회가 마지막이라고 들었는데 다음에 경기 하는 모습 또 보고싶다ㅠㅠㅠ",노은지,2022-02-11T15:58:11Z,1,main-comment
58,으아 오늘 본 경기 중 제일 짜릿하고 간 떨리는 경기였습니다ㅎㅎ(결승보는 줄)<br>막판에 추월하는 곽윤기선수 너무 멋져요ㅎㅎ<br>다들 결승때도 안전하게 억울하지않게 좋은 결과 얻기를!!!,eun ye,2022-02-11T13:30:16Z,872,main-comment
